#TYPE Selected.System.String
"SERVER","STATICROUTE01","STATICROUTE01_SUN","SCRIPT"
"SHHWSR0216.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0220.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0221.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0222.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0224.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0225.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0227.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0228.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0229.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0231.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0232.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0234.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0235.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0236.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0237.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0238.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0239.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0240.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0241.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0242.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0246.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0247.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0248.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0249.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0250.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0260.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0261.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0262.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0263.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0265.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0266.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0267.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0269.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0270.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0271.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0273.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0274.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0275.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0276.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0277.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0280.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0281.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0283.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0285.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0286.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0287.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0292.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0296.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0297.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0298.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0299.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0301.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0302.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0303.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0304.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0305.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0306.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0311.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0312.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0313.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0315.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0316.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0317.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0318.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0319.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0320.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0321.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0323.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0325.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0326.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0328.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0331.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0332.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0333.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0336.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0337.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0338.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0339.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0340.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0341.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0346.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0347.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0348.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0349.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0352.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0353.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0354.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0361.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0362.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0363.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0364.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0365.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0366.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0368.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0372.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0373.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0374.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0375.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0377.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0378.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0379.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0380.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0381.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0382.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0384.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0387.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0388.global.schindler.com","Deleted","Deleted","Deleted"
