#TYPE Selected.System.Management.Automation.PSCustomObject
"COMName","PSVersion","ExecutionPolicy","WinRMStatus","NetFXVersion"
"SHHWSR0057.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0058.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0060.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0061.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0062.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0063.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0064.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0065.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0066.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0067.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0069.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0070.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0071.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0072.global.schindler.com","2.0","Unrestricted","Running","4.5.51209"
"SHHWSR0073.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0075.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0081.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0084.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0085.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0086.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0087.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0089.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0090.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SHHWSR0091.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0092.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0093.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0096.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0097.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0098.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0099.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0100.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0101.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0102.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0105.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0106.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0107.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0108.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0109.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0111.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"SHHWSR0115.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0116.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0117.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0118.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0119.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0123.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0124.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0125.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0127.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0129.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
