"PSComputerName","Name","IsDomainAccount","AdminByMemberOf"
"SCHWSR0015.global.schindler.com","admtippmato","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admkoemueta","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","retired13927_admschmidri","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admbarmetmi","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admstewarga","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admelmigema","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admgehrigpa","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admgappmajo","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admkugelth","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admhuerlifl","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admchristma","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admgoetscbr","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","tstadmgoetscbr","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","svcinfwhatsup","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","svcinfserverdb","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admnaepflpe","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admkipferer","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admwuerscda","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admrittwemi","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admflecklbe","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admzimmerc1","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admniederto","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admfrancif2","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admreinerfr","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admpfulgfa","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","svcinfwebusrmgr","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admfriggeto","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admroogmi","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admhaubenan","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admeggenbdo","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admmuellet2","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","svcinfsysmgt","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admhueslema","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admpredigjo","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","svcshhmmdiscovery","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admrealeda","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admricklike","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admbaurme","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admmucciogi","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admamreinpi","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admchristma","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admnegroem","True","SCH_RES_SY_SCHWSR0015_ADMIN"
