#TYPE Selected.System.Management.ManagementObject
"__SERVER","ServerComment","Logfiledirectory"
"SHHWSR0238","SharePoint - deu-ni-quali.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0238","SharePoint - deucommunityt.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0364","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0364","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0270","Default Web Site","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - 80","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - dtfagora.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - FieldWiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - FieldWikipublishing.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - intranetproject.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - klwiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - mysite.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - saleswiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint Web Services","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint Central Administration v4","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - 8082","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - 8083","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - gltwiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - SEM2015.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - apple.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - yourfirstchoice.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - project-wiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - dtfcommunity.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","sap","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - eforms.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0270","SharePoint - deucommunity.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0372","RM","C:\inetpub\logs\LogFiles"
"SHHWSR0372","RMDAL","C:\inetpub\logs\LogFiles"
"SHHWSR0372","TACom","C:\inetpub\logs\LogFiles"
"SHHWSR0372","NldWeb","C:\inetpub\logs\LogFiles"
"SHHWSR0373","RM","C:\inetpub\logs\LogFiles"
"SHHWSR0373","RMDAL","C:\inetpub\logs\LogFiles"
"SHHWSR0373","TACom","C:\inetpub\logs\LogFiles"
"SHHWSR0373","NldWeb","C:\inetpub\logs\LogFiles"
"SHHWSR0374","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0374","SEH","C:\inetpub\logs\LogFiles"
"SHHWSR0374","telemonitoring","C:\inetpub\logs\LogFiles"
"SHHWSR0269","Default Web Site","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint Web Services","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - 80","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - FieldWiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - klwiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - saleswiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - FieldWikipublishing.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - mysite.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - intranetproject.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - dtfagora.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - 8082","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - 8083","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - gltwiki.schindler.com443","D:\Logs\IISLogs"
